,result,text,clean
112,Negative,@anies_wenny @UNHCRIndo Betul itu WNI aja masih banyak yang ngemis dan mulung buat makan Jadi kenapa pemerintah Indonesia malah ngurusin pengungsi ini?? Rakyat Indonesia aja masih banyak yang susah hidupnya, anies_wenny unhcrindo betul itu wni aja masih banyak yang ngemis dan mulung buat makan jadi kenapa pemerintah indonesia malah ngurusin pengungsi ini rakyat indonesia aja masih banyak yang susah hidupnya
113,Negative,@Muslim_AntiPKI9 Anies lebih lebih lebih KEBODOHAN https://t.co/ZtVYaGVZiU, muslim_antipki anies lebih lebih lebih kebodohan 
114,Neutral,@keuangannews_id Bersama pak anies majukan bangsa indonesia, keuangannews_id bersama pak anies majukan bangsa indonesia
115,Negative,"Prabowo itu status quo. Artinya IKN lanjut,  korban² kebiadaban rejim orson gabakal pernah dapet keadilan. Ganjar idem + partai terkorup. Anies ahlul hianat, pemaksa vaksin laknat.  Ga ada yg beres semua. Demikian, gw golput tanpa cela. Gosah lg nanya gw dukung siapa. Tabok nih!",prabowo itu status quo artinya ikn lanjut korban² kebiadaban rejim orson gabakal pernah dapet keadilan ganjar idem partai terkorup anies ahlul hianat pemaksa vaksin laknat ga ada yg beres semua demikian gw golput tanpa cela gosah lg nanya gw dukung siapa tabok nih 
116,Neutral,@kompascom Kegagahan pak Anies seperti bima pada Mahabarata, kompascom kegagahan pak anies seperti bima pada mahabarata
117,Positive,@liputan6dotcom Sya mah selalu dukung pa anies, liputan dotcom sya mah selalu dukung pa anies
118,Neutral,@gfrx_ @asumsico Harus menang Anies dan PKS klo lihat kyk gini, gfrx_ asumsico harus menang anies dan pks klo lihat kyk gini
119,Negative,"Anies kayaknya gk mampu untuk melanjutkan IKN, makanya dia cari cari alasan untuk menolak UU NO 3 Tahun 2022 Terkait Proyek Pembangunan IKN #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesNasdem #TenggelamkanPartaiNasdem #GoodByeNasdemAnies",anies kayaknya gk mampu untuk melanjutkan ikn makanya dia cari cari alasan untuk menolak uu no tahun terkait proyek pembangunan ikn htidukunganies aniesdidukungkhilafah aniesnasdemout tenggelamkananiesnasdem tenggelamkanpartainasdem goodbyenasdemanies
120,Negative,"Salah ini, Anies harusnya nanggapinya hey bro, nanti ketemu saya di belakang ya!"" Atau ""maksud mas apa nanya begitu?"" Atau ""jadi pengusaha aja ya!""""",salah ini anies harusnya nanggapinya hey bro nanti ketemu saya di belakang ya atau maksud mas apa nanya begitu atau jadi pengusaha aja ya 
121,Negative,"@Chaves1305 @HarnadiHidayat Yang bloon yang gak punya gagasan . Emang pengaruhnya apa kalau bagi bagi susu?  Anies jelas sudah memajukan pertanian di jawa barat ,jawa tengah dan jawa timur dengan membeli hasil pertanian secara langsung. Biasanya orang bego nyebut orang lain bloon karena.dirinya sendiri bodo", chaves harnadihidayat yang bloon yang gak punya gagasan emang pengaruhnya apa kalau bagi bagi susu anies jelas sudah memajukan pertanian di jawa barat jawa tengah dan jawa timur dengan membeli hasil pertanian secara langsung biasanya orang bego nyebut orang lain bloon karena dirinya sendiri bodo
122,Neutral,@aniesbaswedan @marlina_idha Cara Anies Mencerdaskan masyarakat, aniesbaswedan marlina_idha cara anies mencerdaskan masyarakat
123,Positive,Pak Anies memang berkelas dan berkualitas Dunia https://t.co/gQ5VNSFCKf,pak anies memang berkelas dan berkualitas dunia 
124,Positive,@KompasTV Mantap pak anies...pilihanku No1, kompastv mantap pak anies pilihanku no 
125,Negative,"Anies kayaknya gk mampu untuk melanjutkan IKN, makanya dia cari cari alasan untuk menolak UU NO 3 Tahun 2022 Terkait Proyek Pembangunan IKN #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut #TenggelamkanAniesNasdem #TenggelamkanPartaiNasdem #GoodByeNasdemAnies",anies kayaknya gk mampu untuk melanjutkan ikn makanya dia cari cari alasan untuk menolak uu no tahun terkait proyek pembangunan ikn htidukunganies aniesdidukungkhilafah aniesnasdemout tenggelamkananiesnasdem tenggelamkanpartainasdem goodbyenasdemanies
126,Positive,"YAKINLAH....... PAK ANIES SUDAH BAIK DAN BENAR DLM MEMIMPIN IBU KOTA""  TENTU ""ALLAH SWT"" AKAN .MENINGGIKAN DERAJATNYA MENJADI  PEMIMPIN "" IBU PERTIWI""  AAMIIN""",yakinlah pak anies sudah baik dan benar dlm memimpin ibu kota tentu allah swt akan meninggikan derajatnya menjadi pemimpin ibu pertiwi aamiin 
127,Negative,@tempodotco Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”.  Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia.  Anies lebih lebih lebih KEBODOHAN......., tempodotco breaking biden raises the possibility of world war with american troops fighting russian troops prabowo subianto letnan jenderal tni dan president asli indonesia anies lebih lebih lebih kebodohan 
128,Positive,@SorcesXP @Abubakr_Saliim @jr205newlivery Wallahualam mas. Tapi seengganya kalo Anies kalah Pilpres n Anies maju Pilgub trus dia menang. Brarti kutukaj Gubernur petahana gabisa menang lagi itu bisa ilang. Kan bagus, sorcesxp abubakr_saliim jr newlivery wallahualam mas tapi seengganya kalo anies kalah pilpres anies maju pilgub trus dia menang brarti kutukaj gubernur petahana gabisa menang lagi itu bisa ilang kan bagus
129,Neutral,"@msaid_didu @SBYudhoyono @aburizalbakrie @Fahrihamzah @fadlizon Demokrat nggak punya banyak pilihan, setelah keluar dari koalisi anies....", msaid_didu sbyudhoyono aburizalbakrie fahrihamzah fadlizon demokrat nggak punya banyak pilihan setelah keluar dari koalisi anies 
130,Negative,"@BangPino__ setuju dengan pak Anies Baswedan, masih banyak hal urgent ketimbang bikin IKN. orang cerdas pasti mikir nya kesana.", bangpino__ setuju dengan pak anies baswedan masih banyak hal urgent ketimbang bikin ikn orang cerdas pasti mikir nya kesana 
131,Neutral,@hendrsunndr @tempodotco Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”.      Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia.      Anies lebih lebih lebih KEBODOHAN......., hendrsunndr tempodotco breaking biden raises the possibility of world war with american troops fighting russian troops prabowo subianto letnan jenderal tni dan president asli indonesia anies lebih lebih lebih kebodohan 
132,Negative,"@driasyusmara @AriPasaran @BangPino__ gimna carany capres lain di tanya, dsna ada anies aja🤣😂", driasyusmara aripasaran bangpino__ gimna carany capres lain di tanya dsna ada anies aja 
133,Positive,@tvOneNews Anies menunjukkan kecerdasan dalam memberikan solusi dengan konsep AMIN untuk masalah harga pangan., tvonenews anies menunjukkan kecerdasan dalam memberikan solusi dengan konsep amin untuk masalah harga pangan 
134,Positive,"@AriPasaran @BangPino__ keren bang, seharusnya dijawab pemerataan itu sudah mulai dri dlu dan dimulai dbngun dari kepala desa, itupun Uang yang dianggarkan pemerintahan buat desa ga semua yang kepake bisa aja dikorupsi😂😂 Ga kepikiran anies kedepannya, IKN dilanjutkan, pasti ada pemerataan disekitarny", aripasaran bangpino__ keren bang seharusnya dijawab pemerataan itu sudah mulai dri dlu dan dimulai dbngun dari kepala desa itupun uang yang dianggarkan pemerintahan buat desa ga semua yang kepake bisa aja dikorupsi ga kepikiran anies kedepannya ikn dilanjutkan pasti ada pemerataan disekitarny
135,Negative,@kompascom Senyumnya pak anies itu candu bgt ya allah, kompascom senyumnya pak anies itu candu bgt ya allah
136,Negative,@BangPino__ Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”      Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia      Anies lebih lebih lebih KEBODOHAN......., bangpino__ breaking biden raises the possibility of world war with american troops fighting russian troops prabowo subianto letnan jenderal tni dan president asli indonesia anies lebih lebih lebih kebodohan 
137,Neutral,"Ada potongan video desak Anies yang bisa dapat views sampe 8,9 jt di tiktok dlm 3 hari. Kl konsisten sama value, ternyata bisa viral juga tanpa harus ngalah ikutan gimmick. Bener2 man of culture.",ada potongan video desak anies yang bisa dapat views sampe jt di tiktok dlm hari kl konsisten sama value ternyata bisa viral juga tanpa harus ngalah ikutan gimmick bener man of culture 
138,Negative,"@liputan6dotcom Sibuk bgttt pak Anies, sehat2 ya", liputan dotcom sibuk bgttt pak anies sehat ya
139,Neutral,Paguyuban Becak AMIN Sumut Bertekad Menangkan Anies – Imin https://t.co/yOnsT772EF,paguyuban becak amin sumut bertekad menangkan anies imin 
140,Negative,"@BangPino__ MasyaAllah, bapak sabar banget gak ngotot, jelasin nya juga gampang di cerna otak, cuma yang jadi masalah nie bocah kenapa ngebet banget pengen IKN di lanjut, apa dia masih blm jelas yang sudah di jelaskan dan di paparkan oleh pak anies.", bangpino__ masyaallah bapak sabar banget gak ngotot jelasin nya juga gampang di cerna otak cuma yang jadi masalah nie bocah kenapa ngebet banget pengen ikn di lanjut apa dia masih blm jelas yang sudah di jelaskan dan di paparkan oleh pak anies 
141,Positive,"@kekepram @MuhadklyAcho @imanlagi datangi aja bro desak anies terdekat, abang lgsg nanya ke anies pertanyaan paling ngeyel paling idealis.", kekepram muhadklyacho imanlagi datangi aja bro desak anies terdekat abang lgsg nanya ke anies pertanyaan paling ngeyel paling idealis 
142,Positive,@KompasTV Yang menang pasti pak anies lah, kompastv yang menang pasti pak anies lah
143,Neutral,@tvOneNews Langkah Anies Baswedan dalam menegaskan 3 memperbaiki kondisi pasar sangat diapresiasi., tvonenews langkah anies baswedan dalam menegaskan memperbaiki kondisi pasar sangat diapresiasi 
144,Neutral,@ajengcute16__ Wajar...jd aneh klo mrk all out menangkan ganjar / anies, ajengcute __ wajar jd aneh klo mrk all out menangkan ganjar anies
145,Positive,@TeddGus Ahhh.. Yang bener?? Kalo benar mari kita pilih Anies presiden 2024..AMIN, teddgus ahhh yang bener kalo benar mari kita pilih anies presiden amin
146,Negative,@inisifani PKB @DPP_PKB sama Nasdem @NasDem kemana aja...? Dukung Anies tapi kelakuan elo mirip Rezim Mukidi Plonga Plongo Otak Kosong, inisifani pkb dpp_pkb sama nasdem nasdem kemana aja dukung anies tapi kelakuan elo mirip rezim mukidi plonga plongo otak kosong
147,Neutral,@tvOneNews Anies menunjukkan kesungguhan untuk mengatasi permasalahan harga pangan melalui konsep Pasar AMIN., tvonenews anies menunjukkan kesungguhan untuk mengatasi permasalahan harga pangan melalui konsep pasar amin 
148,Neutral,@aniesmania @BosPurwa Suruh bawa pengungsi rohingya ke rmh anies n muhaimin yo le, aniesmania bospurwa suruh bawa pengungsi rohingya ke rmh anies muhaimin yo le
149,Neutral,@tvOneNews @wakexupp Inisiatif Anies Baswedan untuk mengkaji dan memberikan solusi pada masalah harga pangan menonjolkan kepemimpinannya., tvonenews wakexupp inisiatif anies baswedan untuk mengkaji dan memberikan solusi pada masalah harga pangan menonjolkan kepemimpinannya 
150,Negative,"@Chaves1305 Anies joget sudah tidak biasa, soalnya jarang kalau P.S You knowlah berapa kali, males ngitungin aja", chaves anies joget sudah tidak biasa soalnya jarang kalau s you knowlah berapa kali males ngitungin aja
151,Neutral,@AzisPra37171350 @Twilight_Hunt99 @widodol_joko Yg nyemooh anies kan para buzzerp, azispra twilight_hunt widodol_joko yg nyemooh anies kan para buzzerp
152,Neutral,@liputan6dotcom ribuan orang pasti berpartisipasi dlm pemilu anies, liputan dotcom ribuan orang pasti berpartisipasi dlm pemilu anies
153,Neutral,@tvOneNews Anies Baswedan menunjukkan kepedulian dan komitmennya untuk memperbaiki kondisi pasar tradisional., tvonenews anies baswedan menunjukkan kepedulian dan komitmennya untuk memperbaiki kondisi pasar tradisional 
154,Neutral,@Metro_TV @aniesbaswedan yakin seorang pak anies ga mungkin berkhianat, metro_tv aniesbaswedan yakin seorang pak anies ga mungkin berkhianat
155,Neutral,@liputan6dotcom Bisa yok pak Anies, liputan dotcom bisa yok pak anies
156,Positive,"@tvOneNews selagi itu baik buat rakyat, saya selalu mendukung pak anies 💪🏻", tvonenews selagi itu baik buat rakyat saya selalu mendukung pak anies 
157,Neutral,@tvOneNews Ide konsep Pasar AMIN sebagai upaya Anies dalam memperbaiki harga pangan merupakan langkah progresif., tvonenews ide konsep pasar amin sebagai upaya anies dalam memperbaiki harga pangan merupakan langkah progresif 
158,Positive,"@jansen_jsp Keputusan Dokter Bill lebih rasional krn memang keputusan demokrat dukung bocil memang  irasional, kecewa tidak jadi cawapres Anies dan pindah koalisi cukup jadi penggembira bocil Padahal secara kapasitas AHY jauh diatas bocil, AHY ketua partai, cerdas, pendidikannya jelas", jansen_jsp keputusan dokter bill lebih rasional krn memang keputusan demokrat dukung bocil memang irasional kecewa tidak jadi cawapres anies dan pindah koalisi cukup jadi penggembira bocil padahal secara kapasitas ahy jauh diatas bocil ahy ketua partai cerdas pendidikannya jelas
159,Positive,"@aniesbaswedan Terimakasih pak Anies telah datang ke Bumi Lambung Mangkurat, semoga janji² pak Anies  dpt ditunaikan saat jd presiden nanti. AMIN ☝🥰❤", aniesbaswedan terimakasih pak anies telah datang ke bumi lambung mangkurat semoga janji² pak anies dpt ditunaikan saat jd presiden nanti amin 
160,Neutral,@liputan6dotcom Maju bersama pak anies, liputan dotcom maju bersama pak anies
161,Positive,"Sangat di sayangkan ide ide kerakyatan yang berkeadilan , yang pak Anies paparkan akan kandas gara-gara rakusnya si penguasa tamak bin rakus...",sangat di sayangkan ide ide kerakyatan yang berkeadilan yang pak anies paparkan akan kandas gara gara rakusnya si penguasa tamak bin rakus 
162,Neutral,"@sigitwid Sok bijak, waktu Anies Baswedan salah , Para BuzeRp Langsung 7 Bulan Non Stpo Bully Habis²an", sigitwid sok bijak waktu anies baswedan salah para buzerp langsung bulan non stpo bully habis²an
163,Positive,@liputan6dotcom Pak anies pasti menang, liputan dotcom pak anies pasti menang
164,Positive,@liputan6dotcom Pak anies sangat gagah sekali, liputan dotcom pak anies sangat gagah sekali
165,Negative,Tercium sudah bau busuk bahaya Anies jika terpilih menjadi Presiden https://t.co/86Xx0FBqsH,tercium sudah bau busuk bahaya anies jika terpilih menjadi presiden 
166,Neutral,"Anies sebut manfaat IKN cuman buat Aparat bukan Rakyat, https://t.co/kaeyuvBvbT",anies sebut manfaat ikn cuman buat aparat bukan rakyat 
167,Positive,@QianzyZ Jawaban yang berkelas dari pak Anies 😍, qianzyz jawaban yang berkelas dari pak anies 
168,Negative,"@abu_waras Nih gimana yah pemimpin sebelumnya yg punya ide buat IKN tapi hasil nya kaga ada.. kalau ingin membangun tuh selesaikan dgn benar .. malah ngabisin dana buat rumah2 megah sih .. mana projeck nya mangkrak semua, setuju sih sama Pak Anies Baswedan IKN ini perlu di evaluasi kembali", abu_waras nih gimana yah pemimpin sebelumnya yg punya ide buat ikn tapi hasil nya kaga ada kalau ingin membangun tuh selesaikan dgn benar malah ngabisin dana buat rumah megah sih mana projeck nya mangkrak semua setuju sih sama pak anies baswedan ikn ini perlu di evaluasi kembali
169,Neutral,"Anies sebut manfaat IKN cuma buat aparat, bukan rakyat. https://t.co/TNjv0gUUDk",anies sebut manfaat ikn cuma buat aparat bukan rakyat 
170,Neutral,@tvOneNews Anies Baswedan menampilkan kepedulian yang besar terhadap petani dengan langkahnya ini., tvonenews anies baswedan menampilkan kepedulian yang besar terhadap petani dengan langkahnya ini 
171,Negative,Anies sudah melakukan bahkan sebelum nyapres dan jadi gubernur. Contoh : indonesia mengajar. Buzzer kok bloon mentok di makan siang gratis,anies sudah melakukan bahkan sebelum nyapres dan jadi gubernur contoh indonesia mengajar buzzer kok bloon mentok di makan siang gratis
172,Positive,@liputan6dotcom Selalu siap dukung pak anies, liputan dotcom selalu siap dukung pak anies
173,Positive,@Drew_XIII @BangPino__ Iya ujian utk Anies.. bs sabar gak.. memang kadang sering kali ketemu dgn yg kritis irrasional yg ngotot2 tak menentu, drew_xiii bangpino__ iya ujian utk anies bs sabar gak memang kadang sering kali ketemu dgn yg kritis irrasional yg ngotot tak menentu
174,Neutral,@tvOneNews Inisiatif Anies untuk menerapkan konsep AMIN patut diapresiasi sebagai langkah nyata peningkatan pasar., tvonenews inisiatif anies untuk menerapkan konsep amin patut diapresiasi sebagai langkah nyata peningkatan pasar 
175,Negative,"@Chaves1305 Pertanyaan yang TOLOL ini sih, karena klo dibalik tanya Berapa Triliun kah kerugian negara dan atau daerah yg timbul selama Anies &amp  Ganjar berkuasa.   Klo Prabowo @prabowo kan jelas telah merugikan negara senilai lebih kurang  6 Triliun !   https://t.co/qHKMO1sMsQ", chaves pertanyaan yang tolol ini sih karena klo dibalik tanya berapa triliun kah kerugian negara dan atau daerah yg timbul selama anies amp ganjar berkuasa klo prabowo prabowo kan jelas telah merugikan negara senilai lebih kurang triliun 
176,Negative,@sharinoon Wehhh kita sama. Dulu aku layan tahan 6 episod ja sbb rasa apa benda bijak sgt series ni sampai aku tak paham😂  Ni baru nak tengok balik. Nak habih S1 dah, sharinoon wehhh kita sama dulu aku layan tahan episod ja sbb rasa apa benda bijak sgt series ni sampai aku tak paham ni baru nak tengok balik nak habih dah
177,Neutral,@marlina_idha Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”    Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia    Anies lebih lebih lebih KEBODOHAN......., marlina_idha breaking biden raises the possibility of world war with american troops fighting russian troops prabowo subianto letnan jenderal tni dan president asli indonesia anies lebih lebih lebih kebodohan 
178,Neutral,@tvOneNews Penggunaan skema yang berbeda menunjukkan kecerdasan Anies dalam merancang program pasar yang efektif., tvonenews penggunaan skema yang berbeda menunjukkan kecerdasan anies dalam merancang program pasar yang efektif 
179,Positive,@liputan6dotcom Pak anies yang terbaik, liputan dotcom pak anies yang terbaik
180,Negative,"@hasyimmah Nggak harus diprofiling akunnya, kelakuan buzzer model bahasa binatang ini bisa dipastikan 100% pendukung Partai Korupsi Sapi dan capres Yohannes Wan Abud Anies BaswEdan.", hasyimmah nggak harus diprofiling akunnya kelakuan buzzer model bahasa binatang ini bisa dipastikan pendukung partai korupsi sapi dan capres yohannes wan abud anies baswedan 
181,Positive,@liputan6dotcom Pak anies sangat berbaur dengan masyarakat, liputan dotcom pak anies sangat berbaur dengan masyarakat
182,Positive,"@aniesbaswedan Masya Allah, tabarakallah. Semoga doa dr org² sholeh dpt memuluskan perjuangan pak Anies dan Gus Imin menjadi pemimpin bangsa Indonesia. 🔥🔥🔥", aniesbaswedan masya allah tabarakallah semoga doa dr org² sholeh dpt memuluskan perjuangan pak anies dan gus imin menjadi pemimpin bangsa indonesia 
183,Neutral,@DPP_PKB @cakimiNOW Cak Imin cocok udah jadi wakil presiden nya Pak Anies Baswedan 🥺, dpp_pkb cakiminow cak imin cocok udah jadi wakil presiden nya pak anies baswedan 
184,Positive,@liputan6dotcom Pak anies sangat merakyat, liputan dotcom pak anies sangat merakyat
185,Positive,"@aniesbaswedan Terimakasih pak Anies telah datang ke Bumi Lambung Mangkurat, semoga janji² pak Anies  dpt ditunaikan saat jd presiden nanti. AMIN ☝🥰❤", aniesbaswedan terimakasih pak anies telah datang ke bumi lambung mangkurat semoga janji² pak anies dpt ditunaikan saat jd presiden nanti amin 
186,Negative,Kalo dia yg maju ke putaran 2 alamat politik identitas lg. Caoe de. Ayo tim Ganjar semangat dong kejar. Maennya jgn nyerang rejim mulu. Suaranya malah ke Anies lu makin ketinggalan,kalo dia yg maju ke putaran alamat politik identitas lg caoe de ayo tim ganjar semangat dong kejar maennya jgn nyerang rejim mulu suaranya malah ke anies lu makin ketinggalan
187,Neutral,@golkar_id @prabowo @gibran_tweet Ttp anies dan imin sih, golkar_id prabowo gibran_tweet ttp anies dan imin sih
188,Positive,"@aniesbaswedan Terimakasih pak Anies telah datang ke Bumi Lambung Mangkurat, semoga janji² pak Anies  dpt ditunaikan saat jd presiden nanti. AMIN ☝🥰❤", aniesbaswedan terimakasih pak anies telah datang ke bumi lambung mangkurat semoga janji² pak anies dpt ditunaikan saat jd presiden nanti amin 
189,Negative,@BangPino__ Breaking: Biden raises the possibility of World War 3 with “American troops fighting Russian troops”    Prabowo Subianto Letnan Jenderal TNI dan President Asli Indonesia    Anies lebih lebih lebih KEBODOHAN......., bangpino__ breaking biden raises the possibility of world war with american troops fighting russian troops prabowo subianto letnan jenderal tni dan president asli indonesia anies lebih lebih lebih kebodohan 
190,Neutral,@tvOneNews Langkah Anies Baswedan dalam mengunjungi pasar tradisional menunjukkan kepeduliannya pada masyarakat., tvonenews langkah anies baswedan dalam mengunjungi pasar tradisional menunjukkan kepeduliannya pada masyarakat 
191,Positive,@liputan6dotcom Pak Anies emang terbaik, liputan dotcom pak anies emang terbaik
192,Negative,"@MuhadklyAcho Harusnya pak anies jawab Biarkan masyarakat menilai"", kelar itu.. pak anies harus belajar lagi ke Mas Gibran""", muhadklyacho harusnya pak anies jawab biarkan masyarakat menilai kelar itu pak anies harus belajar lagi ke mas gibran 
193,Negative,"@Mdy_Asmara1701 Gila sih ini, capres lain mana berani diginiin. Coba deh pak lain waktu ke pasar tradisional, atau tempat2 umum lainnya, desak anies versi rakyat jelata, jangan ke kampus melulu.", mdy_asmara gila sih ini capres lain mana berani diginiin coba deh pak lain waktu ke pasar tradisional atau tempat umum lainnya desak anies versi rakyat jelata jangan ke kampus melulu 
194,Positive,@Metro_TV @aniesbaswedan Semangat pak Anies, metro_tv aniesbaswedan semangat pak anies
195,Negative,"PEMBELA  KEBENARAN , 2.SEMUA  MAHASISWA !  3.  ANIES BASWEDAN DAN PENDUKUNG NYA . 4. PENANGKAPAN DAN PEMBANTAI AN  PARA KIYAI ,ULAMA ,USTAD ! 2  NO 5 PELARANGAN PERGI  HAJI . NO 6 PEMUSNAHSN RUMAH ! 2 IBADAH . JOKO  MAU MENDIRIKAN KERAJAAN ENGKOH MINIS  SEP  MIMPI MSO CHE DONG 👹",pembela kebenaran semua mahasiswa anies baswedan dan pendukung nya penangkapan dan pembantai an para kiyai ulama ustad no pelarangan pergi haji no pemusnahsn rumah ibadah joko mau mendirikan kerajaan engkoh minis sep mimpi mso che dong 
196,Positive,@tvOneNews Setuju sekali pak anies, tvonenews setuju sekali pak anies
197,Negative,"@AbabilSemprong @YRadianto @aniesbaswedan @prabowo @ganjarpranowo Prabowo KASUS PENCULIKAN dan RENCANA KUDETA di tahun 1998 hingga dia  dipecat dari kemiliteran ! Anies POLITIK IDENTITAS di tahun 2017, dia menggunakan POLITIK AYAT DAN MAYAT untuk memenangkan pilgub jakarta melawan Ahok ! Sedangkan Ganjar, silahkan anda cari dosanya...!!!", ababilsemprong yradianto aniesbaswedan prabowo ganjarpranowo prabowo kasus penculikan dan rencana kudeta di tahun hingga dia dipecat dari kemiliteran anies politik identitas di tahun dia menggunakan politik ayat dan mayat untuk memenangkan pilgub jakarta melawan ahok sedangkan ganjar silahkan anda cari dosanya 
198,Positive,@tvOneNews Keren emg pak anies, tvonenews keren emg pak anies
199,Positive,@tvOneNews Pan anies dan pak imin juaranya, tvonenews pan anies dan pak imin juaranya
200,Positive,@liputan6dotcom Pak Anies yang terbaik, liputan dotcom pak anies yang terbaik
201,Negative,"@abu_waras Parah sih pembangunan IKN ini, kasian penduduknya terdampak banget sama IKN ini, mana dana nya wowww sekali ... so .. kita harus bisa lebih memilih pemimpin.. apakah pemimpin itu mengutamakan Rakyat seperti Pak Anies.. atau mengutamakan penguasa seperti (isi sendiri) 🤪", abu_waras parah sih pembangunan ikn ini kasian penduduknya terdampak banget sama ikn ini mana dana nya wowww sekali so kita harus bisa lebih memilih pemimpin apakah pemimpin itu mengutamakan rakyat seperti pak anies atau mengutamakan penguasa seperti isi sendiri 
202,Neutral,@Metro_TV @aniesbaswedan Loh pak Anies emang bisa?, metro_tv aniesbaswedan loh pak anies emang bisa 
203,Positive,@CNNIndonesia Ketampanan pak Anies tidak ada tandingannya 😍, cnnindonesia ketampanan pak anies tidak ada tandingannya 
204,Positive,"@Metro_TV @aniesbaswedan saya mah udah percaya sama pak anies, org nya jujur tanpa dibuat2", metro_tv aniesbaswedan saya mah udah percaya sama pak anies org nya jujur tanpa dibuat 
205,Neutral,@tvOneNews Konsep AMIN yang diusung Anies bisa menjadi solusi penting dalam menyeimbangkan harga pangan., tvonenews konsep amin yang diusung anies bisa menjadi solusi penting dalam menyeimbangkan harga pangan 
206,Positive,"@liputan6dotcom Pak Anies sehat selalu ya, bapak keren", liputan dotcom pak anies sehat selalu ya bapak keren
207,Positive,@Metro_TV @aniesbaswedan Pak anies cerdasnya luar biasa, metro_tv aniesbaswedan pak anies cerdasnya luar biasa
208,Neutral,@tvOneNews Anies Baswedan memberikan gambaran yang jelas mengenai rencana konsep Pasar AMIN di masa mendatang., tvonenews anies baswedan memberikan gambaran yang jelas mengenai rencana konsep pasar amin di masa mendatang 
209,Neutral,@liputan6dotcom Sehat² pak anies, liputan dotcom sehat² pak anies
210,Positive,"@Resty_J_Cayah @KPU_ID @PBIDI @KemenkesRI Paling benar dukung anies, capres terbaik sejauh ini", resty_j_cayah kpu_id pbidi kemenkesri paling benar dukung anies capres terbaik sejauh ini
211,Neutral,@tvOneNews Ide konsep AMIN yang diusung Anies terlihat sebagai langkah nyata untuk memperbaiki pasar tradisional., tvonenews ide konsep amin yang diusung anies terlihat sebagai langkah nyata untuk memperbaiki pasar tradisional 
212,Positive,@Metro_TV @aniesbaswedan Semangat pak Anies, metro_tv aniesbaswedan semangat pak anies
213,Positive,@ganjarpranowo dn @aniesbaswedan itu punya mslh terbesar yaitu MASA KAMPANYE.  kampanye @jokowi dan @prabowo saat pertama kali resmi mencalonkan 2014 itu 15 bulan. anies dan ganjar hanya punya waktu 2.5 bulan..hehehe. mereka hrus punya stamina 7 x dri jkw dan prabowo di 2014., ganjarpranowo dn aniesbaswedan itu punya mslh terbesar yaitu masa kampanye kampanye jokowi dan prabowo saat pertama kali resmi mencalonkan itu bulan anies dan ganjar hanya punya waktu bulan hehehe mereka hrus punya stamina dri jkw dan prabowo di 
214,Neutral,@liputan6dotcom Suara kita bulat untuk Anies Imin, liputan dotcom suara kita bulat untuk anies imin
215,Neutral,@Metro_TV @aniesbaswedan Pak anies lopyuuu banget dah, metro_tv aniesbaswedan pak anies lopyuuu banget dah
216,Positive,"Ariii keren blum sarjana be lah duduk kek anies, ap lg lah sarjana pasti duduk kek natanyahuu 🙏🏻",ariii keren blum sarjana be lah duduk kek anies ap lg lah sarjana pasti duduk kek natanyahuu 
217,Positive,@liputan6dotcom Pak anies emang terbaik, liputan dotcom pak anies emang terbaik
218,Neutral,@Resty_J_Cayah @KPU_ID @PBIDI @KemenkesRI percaya Anies Baswedan memiliki komitmen untuk meningkatkan kualitas hidup warga negara Indonesia., resty_j_cayah kpu_id pbidi kemenkesri percaya anies baswedan memiliki komitmen untuk meningkatkan kualitas hidup warga negara indonesia 
219,Positive,@Metro_TV @aniesbaswedan Pak Anies semangat, metro_tv aniesbaswedan pak anies semangat
220,Negative,@democrazymedia Udah tau tak laku. Kenapa masih di paksakan, democrazymedia udah tau tak laku kenapa masih di paksakan
221,Positive,@abu_waras IKN hanya menyengsarakan Rakyat dan Memperkaya Penguasa...  saya setuju dengan Pak Anies bahwa tujuan Indonesia itu setara dan merata .. bukan merata pada penguasa... pak Anies emang terbaik untuk menjadi Pemimpin Indonesia, abu_waras ikn hanya menyengsarakan rakyat dan memperkaya penguasa saya setuju dengan pak anies bahwa tujuan indonesia itu setara dan merata bukan merata pada penguasa pak anies emang terbaik untuk menjadi pemimpin indonesia
222,Negative,"Hanya sekelas Anies yg berani melawan nafsu serakah LBP, yg ingin menguasai proyek-proyek swasta yg difasilitasi negara. https://t.co/QKlMRzioVZ",hanya sekelas anies yg berani melawan nafsu serakah lbp yg ingin menguasai proyek proyek swasta yg difasilitasi negara 
223,Negative,Makjleb....malu gue sbg mahasiswa denger Anies sharing ilmu 😰,makjleb malu gue sbg mahasiswa denger anies sharing ilmu 
